Topic,Count,Name,Representation,Representative_Docs
-1,387,-1_blame_perfect_prayed_winked,"['blame', 'perfect', 'prayed', 'winked', 'complain', 'drug', 'lucky', 'pain', 'bag', 'meeting']","['i really don t know how i did it', 'i don t know', 'don t know how much sugar that cookie has']"
0,261,0_planet_moon_mars_surface,"['planet', 'moon', 'mars', 'surface', 'astronomy', 'universe', 'space', 'ice', 'andong', 'earth']","['the surface of mars is red due to rust', 'the surface temperature of mars is c to c and averages c', 'mars is the th planet beyond our sun']"
1,139,1_book_read_books_reading,"['book', 'read', 'books', 'reading', 'library', 'newspaper', 'tony', 'brought', 'return', 'new']","['you can read any book that interests you', 'who would read such a thick book', 'read this book']"
2,155,2_try_chance_tried_help,"['try', 'chance', 'tried', 'help', 'necessary', 'want help', 'things', 'wants', 'll', 'thread']","['let s try', 'let s try', 'i want to try him']"
3,110,3_car_drive_police_don car,"['car', 'drive', 'police', 'don car', 'driver', 'cars', 'crime', 'bicycle', 'fixed', 'wheel']","['i know how to drive a car', 'i can drive a car', 'i drive a car']"
4,119,4_school_teacher_study_studying,"['school', 'teacher', 'study', 'studying', 'students', 'student', 'class', 'classroom', 'teaching', 'children']","['chen is a teacher', 'his teacher praised him', 'the teacher called each student s name']"
5,120,5_cooking_making_cook_cooks,"['cooking', 'making', 'cook', 'cooks', 'tsitsaron', 'kitchen', 'cooks tsitsaron', 'tapioca', 'stew', 'tapsilog']","['cooks tsitsaron and stew', 'cooks tsitsaron and tapsilog', 'penelope is cooking bi an in the kitchen']"
6,102,6_japanese_japan_tokyo_china,"['japanese', 'japan', 'tokyo', 'china', 'kyoto', 'adil', 'chinese', 'told adil', 'wiener', 'ago']","['you are not japanese', 'is he japanese', 'many foreigners come here to japan to learn japanese']"
7,138,7_away_leave_left_let,"['away', 'leave', 'left', 'let', 'gone', 'don leave', 'escaped', 'ran', 'airport', 'minutes']","['he left without saying goodbye', 'say goodbye', 'goodbye sayoko']"
8,96,8_died_die_killed_dead,"['died', 'die', 'killed', 'dead', 'body', 'monday', 'attended', 'dies', 'mentioned', 'going']","['betty killed everyone', 'who died', 'let s go to the dead who died']"
