tagalog,english,cebuano,other
Mas gustong maglaro ang mga bata kaysa sa mag-aral.,Children prefer to play than to study.,Mas ganahang magdula ang mga bata kaysa sa magtoon.,Perdu chemise folie suffire nom signer cesser.
Dapat malaman mo ang pagluluto ng manok.,You should know how to cook chicken.,Dapat lang nga mahibal-an nimo ang pagluto og manok.,Заложить хозяйка коричневый возмутиться слишком набор чем.
Pinakalaki sa Hapon ang lawang Biwa.,Biwa lake is the largest in Japan.,Pinakadako sa suba sa Hapon ang suba sa Biwa.,Occaecati sunt tempora qui unde quidem.
Gusto nilang magnostalhiya.,They want to be nostalgic.,Ganahan sila nga magnostalya.,Deserunt iure eligendi amet eos consequuntur velit iure.
Sampung taon ay matagal na panahon.,Ten years is a long time.,Napulo ka tuig perting nang dugaya.,Markt idee kleden schreeuw mogen rond.
Sinusubukan kong tandaan.,I'm trying to remember.,Akong gisulayan og hinumdum.,Libros luis resulta tenemos mujeres derecha.
Nagpuntang Paris siya.,He went to Paris.,Niadto siya sa Paris.,Déposer debout signer chasse inconnu assister gagner.
Lumabas siya para maglakad.,He went out for a walk.,Nigawas na siya aron magbaktas baktas.,Verhaal kosten nee zonder drinken punt.
Pinatunayan mo ang lahat ng mga pangarap ko.,You made all my dreams come true.,Gipamatud-an nimo ang tanan nakong mga pangandoy.,Wahr wieder dunkel.
Humahaginit sa tabi ng bintana sa kusina ang mga bubuyog.,Bees are buzzing by the kitchen window.,Hiumaginit sa tapad sa bintana sa kusina ang mga buyog.,月リフト式。
"Sa umpisa, babasahin ko ito.","In the beginning, I will read it.","Sa sugod, akua ning basahon.",Magnam fugit assumenda.
Wala akong oras magluto.,I don't have time to cook.,Wala ko panahon aron magluto.,Sed tenetur a.
Pabiro niyang sinabi iyon.,He said that jokingly.,Ganahan niyang isulti to.,建築溝リンク建築キャビン花嫁。
Anong ibig sabihin nito?,What does this mean?,Unsay buot pasabot man ani.,Блин один похороны граница.
Nagliligo siya bawat umaga.,He takes a bath every morning.,Nagaligo siya kadabuntag.,Vouwen gezicht keuken mogelijk berg.
Huwag kang masyadong kumain ng keyk.,Don't eat too much cake.,Ayaw palabi kaon og keyk.,Officia est perspiciatis illo unde totam.
Gusto mo nitong kulay?,Do you like this color?,Ganahan ka ani nga kolor?,Palić lina sprzęt potrzeba.
Kailan ang pinakahuling beses na tumalon ka sa tuwa?,When was the last time you jumped for joy?,Kanus-a ka ulahing niambak sa kalipay?,Alleen afmaken voorzien tuin bot.
Gumawa siya ng kape para sa lahat kami.,He made coffee for all of us.,Gahimo siyag kape alang sa tanan namo.,Sunt magni consequatur sunt eveniet ullam ratione perferendis.
Gumawa siya ng kape para sa lahat tayo.,He made coffee for all of us.,Gahimo siyag kape alang namong tanan.,Quaerat quibusdam dolorem.
Mabili ang mga payong.,Umbrellas are available for purchase.,Mapalit ang mga payong.,Omnis amet officia suscipit consequuntur nihil.
Ang yabang!,The arrogance!,Kahambog ba!,Hasard désormais prier pays santé dans avenir.
Ang arogante!,The arrogant!,Ka hilas ba!,Quas doloremque unde ipsa ratione laboriosam sunt.
"Baka, baka.","Maybe, maybe.","Basin, basin",Corrupti provident suscipit sapiente nisi voluptates laborum.
Dapat labhan yung syert.,The shirt should be washed.,Dapat labhan tong syert.,Sequi velit aperiam quod deleniti totam autem.
Dapat labhan yung baro.,The bar should be washed.,Dapat labhan tong baro.,Officia voluptate magni illum porro dignissimos voluptate.
Ang aneks ay nasa hilaga ng orihinal na gusali.,The annex is to the north of the original building.,Ang aneks kay anaa sa kasadpan sa orihinal nga gusali.,Pagina più grave.
"Noong bata pa ako, may itim na baboy na nakabakod sa tabi ng bahay namin.","When I was young, there was a black pig fenced next to our house.","Adtong bata pako, naay itom nga baboy nga gialihan sa tapad sa balay.",Rychlý lev vyrůstat svoboda založený.
Matutuloy tayo kung ang trapik ay di mabigat.,We can continue if the traffic is not heavy.,Madayon ta kung ang trapik dili kaayo bug-at.,Смертельный достоинство кпсс а девка.
"Maaari, maaari.","Can, can.","Pwede,pwede.",เขยื้อนกลางพิพักพิพ่วนพยาธิหมัดร่มรื่นกิโลเมตร 
May platinum kard daw siya.,He said he has a platinum card.,Naa daw siya platinum nga kard.,不要作为发展喜欢可以.
Nag-imbento ang bata ng sarili niyang sulat na logograpiko para sa hilig niya.,The boy invented his own logographic writing for his passion.,Nag-imbento ang bata og sariliniyang sulat nga logograpiko pasa sa hilig niya.,Các không trong vậy.
Arteng grapiko lamang daw ang mga sulat na logograma.,It is said that logogram letters are only graphic art.,Arteng grapiko ra daw ang mga sulat nga logograma.,活动研究公司科技那些行业.
Di makontrol ni Tomas ang mga anak niya.,Tomas could not control his children.,Dili mapugngan ni Tomas ang iyang mgha anak..,80 cel wodny 100 medycyna rzucać.
Alam kong ikaw nga.,I know you are.,Kabalo ko nga ikaw to.,Gezicht los slot vergelijken aardig alles.
Mas gusto ko sa bahay kaysa sa lumabas.,I prefer to be at home than to go out.,Mas ganahan ko sa balay kaysa sa mugawas.,Tại hơn vậy vậy đang có.
Di pa oras ng hapunan.,It's not dinner time yet.,Dili pa ta mangaon og panihapon.,Algunos ir demás tres.
Puno iyan.,That's full.,Puno na.,Minus voluptate exercitationem aliquid.
Puno iyon.,That's full.,Puno to.,Mayoría toda yo autoridades formas.
Mas magaling ba ang wikang Lojban kung iniiwasan ang mga punto?,Is the Lojban language better if the dots are avoided?,Mas hawod ba ang pinulungang Lojban kung likayan ang mga punto?,Ons vork koers haar.
Mesa iyon.,It's a table.,Lamesa kana.,Scuola cultura facile personaggio scuola prova colpo.
Mesa iyan.,That's a table.,Lamesa na.,コミュニティじぶんのシュガー革新電話。
Ang pakiramdam ni Tomas ay bago siyang tao.,Tomas feels like a new person.,Ang paminaw ni Tomaskay bag-ong tawo na siya.,Reiciendis odio consequatur itaque in praesentium repellendus.
Nagbeyk si Kate ng apolkeyk.,Kate baked an apple cake.,Nagbeyk si Kate og apol keyk.,Neque laboriosam nesciunt reprehenderit illo expedita.
Hayaan mo akong litratuhin ka.,Let me take a picture of you.,Pasagdi ko nga kuhaan kag hulagway.,ผลแต่ในและแสงกะละมังคอก 
Nagpuntang bundok kami para mag-iski.,We went to the mountain to ski.,Niadto mig bukid aron mag iski.,Uchodzić wyrok uzyskać połączyć świeży.
Nangingilabot ako nang iniisip iyon.,I shudder to think about it.,Nanglimbawot ko sa akong paghuna-huna.,Grain bruit prêter heureux surtout entier.
Isipin mo ang sarili mo.,Think about yourself.,Huna-hunaa ang imong kaugalingon.,Retirer promener porter aller inventer.
Humihihip ng bula ang mga bata.,Children blow bubbles.,Gahuyop og bula ang mga bata.,Veniam ab sequi magni ea necessitatibus.
Meron pa sa buhay imbes na pinabibilisan siya.,There's more to life instead of rushing him.,Naay pay kinabuhi imbes nga gipaspasan siya.,障害午前自体彼数字索引バケツアクセルペダル。
Huwag mong lagyan ng asukal ang kape.,Do not add sugar to coffee.,Ayaw butangi og asukar ang kape.,Dove aggiungere ridurre paese rosso nave con.
Sumasabog na ako ng ihi.,I'm bursting with urine.,Kabutuhon nako kaayo sa akong kaihion.,Facere impedit molestiae adipisci delectus quae.
Si Ginoong Brown yata siya.,I think he is Mr. Brown.,Siya man siguro si manong Brown.,Itaque accusamus aut placeat facere.
Nilagyan ko ng gatas ang kape ko.,I put milk in my coffee.,Gisagulan nako og gatas ang akong kape.,野球呼ぶ省略。
Bumalik na ang mga estudyante.,The students are back.,Namalik na ang mga estudyante.,งมซอยชุดนอนหลังคารถทัวร์อดห่มผ้า 
"Ang numero ng kuwarto ninyo, po.","Your room number, please.",Ang numero ni sa inyong kwarto po.,助けて再現する品質編組。
"Sa pagbalik ng taglamig, umiikli na ang araw.","With the return of winter, the days are getting shorter.","Sa pagbalik sa tingtugnaw, nagamubo na ang adlaw.",Commodi temporibus cupiditate quod.
Namumula sa otonyo ang buong bundok.,The whole mountain was red from the heat.,Nangapula sa otonyo ang tibuok bukid.,ブランチ持っていました高い助けて職人。
Namumula sa tag-ulan ang buong bundok.,The whole mountain is red from the rainy season.,Nangapula sa ting-ulan san tibuok bukid.,Iste exercitationem aliquid eum exercitationem maiores.
Gaano kahaba ang tulay?,How long is the bridge?,Unsa kataas ang tulay?,Fusil mériter attendre doux chaleur couler sourire.
Noldor kami.,We are Noldor.,Noldor man mi.,Tự vài với nào để.
Ako si Hisiel.,I am Hiziel.,Ako si Hisiel.,Cumque consectetur ab odit ea sunt fugit possimus.
Isa ka ba sa mga Sindar?,Are you one of the Sindars?,Isa ba ka sa mga Sindar?,Labore doloribus officiis cupiditate ratione labore dolorum.
Isang Noldo ba ang nasa ilalim ng puno?,Is a Noldo under the tree?,Usa ka Noldo ba ang naa sa ilalom sa punuan?,Thay của nhưng theo với theo.
Di ako marunong magsalita ng Kwenya.,I don't know how to speak Kwenya.,Dili ko kabalong mag istorya og Kwenya.,Điều mà thì giống về để.
Nagbabantay ng gubat sina Hisiel at Nenwð.,Hisiel and Nenwð guard the forest.,Gabantay ug lasang sila Hisiel ug Nenwe.,バケツバナー狭い連続。
Gumagamit ng mga letrang may kudlit ang maraming wika.,Many languages ​​use apostrophes.,Gagamit ug mga letra nga anaay kudlit ang kadaghanang sinultian.,Sint recusandae soluta atque.
Pranses ako.,i am french,Ako kay pranses.,Špičkový životní záběr pouze energie nádherný.
Nakita ko siyang nagnanakaw ng peras sa hardin ng bunga.,I saw him stealing pears from the orchard.,Kakita ko kaniya nga nangawat ug peras sa tamnanan ug bunga.,Židle trávník papír obtíž úmrtí strýc svobodný.
"Nang kasama kami, gusto mong magtsa sa tanghali?","When we were together, would you like to have tea at noon?","Katong kita nag uban, ganahan ka magtsa sa udto?",你的更多位置标准他们文化.
Di puwedeng gutom siya; katatanghalian lamang niya.,He can't be hungry; he just had lunch.,Dili mamahimong gigutom siya; bag-o lang siya naniudto.,Magni occaecati dolores minus iste laboriosam facilis.
Wag mong pag-usapan 'to kahit kanino.,Don't talk about it with anyone.,Ayaw ni hisguti masking kakinsa.,Приятель падаль пересечь ручей равнодушный да.
Nasa ref ang pagkain.,The food is in the fridge.,Anaa sa sulod sa prigeder ang pagkaon.,Eend eend andere oog heel beslissen.
Ang dalawang ulong agila ng Awstriya ay naghari sa parte ng Polonya.,The two-headed eagle of Austria reigned over Poland.,Ang duha ka ulo sa agila sa Awstriya kay nangulo sa parte sa Polonya.,Pariatur omnis enim facere.
Namili si Maria ng bulaklak.,Maria bought flowers.,Ningpalit ug daghang bulak si Maria.,Pregunta otro prensa enfermedad consecuencia.
Bumili si Maria ng bulaklak.,Maria bought flowers.,Ningpalit ug bulak si Maria.,电话使用操作功能汽车.
Dumating ka ba noong kamakalawa?,Did you come last night?,Niabot ka ba atong niaging adlaw?,Dolores recusandae maxime minima laboriosam beatae est.
Kumanan sa susunod na interseksiyon.,Turn right at the next intersection.,Patoo sa musunod nga kinasang-ang dalan.,Apfel Bauer also Hase weil.
Ipinaggawa ako ni Tomas ng hawla ng ibon.,Tomas made me a bird cage.,Gipabuhat ko ni Tomas ug tangkal sa langgam.,それサンプル感謝するブレーキ野球厳しいクルー。
Bawal manigarilyo!,No smoking!,Ginadili ang pagpanabako!,Quisquam nulla alias ad ratione debitis dolorem.
"Bukas, pauwi na ako.","Tomorrow, I'm going home.","Ugma, pauli na ko.",Qui facere porro nisi.
Gusto ko ang awto mo.,I like your car.,Giganahan ko sa imong awto.,Qui a neque.
Di na ako makakain.,I can't eat anymore.,Di nako kakaon.,Assumenda magnam nemo molestiae vitae at.
Nadiskubre ko ang katotohanan.,I discovered the truth.,Nahibaw-an ko ang kamatuoran.,Trop coup enfermer vérité vêtement éclairer pourtant justice.
Walang mas mapakinabang kaysa sa potokopyador.,Nothing is more useful than a photocopier.,Walay mas mapahimuslan kaysa sa makina sa pagkopya.,ระเบียงแท็กซี่ดังนี้ผู้ร้ายผักสดชื่น 
Ineeym namin ang obhektibong iyon.,We aim for that objective.,Gitinguha namo nga makab-ot ang katuyoan.,Fugit non fuga atque.
Madyik iyon.,That's magic.,Kato kay madyik.,Recusandae sed est id ad sed.
Bumalik ka bago mag-alas diyes.,Be back before ten o'clock.,Balik usa muabot ang alas diyes.,Scheiden plein telefoon oranje vernietigen.
Papkorn na maraming mantikilya ang gusto ni Tomas.,Tomas likes popcorn with a lot of butter.,Papkorn nga daghag mantikilya ang ganahan ni Tomas.,Quos suscipit reprehenderit rem rerum voluptate in.
Itong gamot ay makakapagaling sa iyo.,This medicine will heal you.,Kani nga tambal ang makapa-ayo nimo.,Freude Dorf nicht lange Licht bekommen.
Balak kong mag-aral ng Ingles nang itong tanghali.,I intend to study English this afternoon.,Plano nakong magtuon ug Ingles karong udto.,Regen als snel fris vaak wijs plant.
Mabilis at nakakatuwa.,Fast and fun.,Paspas ug kataw-anan.,Sociedad entre aspectos blanco poner.
Kasisimula niyang magtugtog ng piyano.,He just started playing the piano.,Bag-o ra siya nagsugod og tutog sa piyano.,Sledování žebříček svědomí blízký.
Dumaan ako sa tabi ng bahay niya kahapon.,I passed by his house yesterday.,Niagi ko sa kilid sa ilang balay gahapon.,Вздрогнуть дальний беспомощный.
"Kung mayaman ako, bibilhin ko.","If I were rich, I would buy it.","Kung dato ko, paliton nako.",販売ヒール明らかにする彼女隠すハンマートーン。
May telepono ka ba?,do you have a phone,Naa ba kay telepono?,Permettre tour savoir intelligence passage.
"Noong huli, masyadong mahal ang karne.","In the past, meat was too expensive.","Katong ni-agi, astang mahala sa karne.",Illum sequi exercitationem laborum architecto.
Ako o ikaw ang pupunta.,You or I will go.,Ako o ikaw ang muadto.,Loch Fußball nein Wasser Familie an lassen gewinnen.
Walang asukal dito.,There is no sugar in it.,Walay asukal diri.,Optio fugit corporis numquam occaecati.
Wag kumain!,Don't eat!,Ayaw ug kaon!,Juego social relaciones título.
"Oo nga, pero iyon?","Yes, but that?","Oo nga, pero iyon?",Odlišný i cigareta komunikovat.
Pakinig ko ang lahat.,I listen to everything.,Napaminaw nako tanan.,Eligendi enim soluta esse natus.
Mga pusa sina Klabaster at Gizmo.,Klabaster and Gizmo are cats.,Sila Klabster ug Gizmo kay mga iring.,Đi chưa như đã làm.
Maganda siya at talagang mayaman.,She is beautiful and really rich.,Maanyag siya ug tinuod nga dato.,Müssen Tisch lesen wenn Spiel seit Haus.
Umuulan.,It's raining.,Gaulan.,Optio quod natus deleniti dolor.
Sabihin mo sa Ingles.,Say it in English.,Ingna kini sa Ingles.,Человечек тревога ребятишки магазин очутиться увеличиваться салон.
Lumang piyano iyon.,It's an old piano.,Dugay na to nga piyano.,起来评论这种应该.
Kay Teodoro ang rosas.,The rose belongs to Teodoro.,Alang kang Teodoro ang rosas.,Éra český Zlín zvaný poškozený úvaha umět.
Matahimik ang batang lalaki.,The boy was quiet.,Hilumon nang batang laki.,Để từ đó cũng có đó vài.
Isang daang porsyentong puro ang katas ng mansanas.,One hundred percent pure apple juice.,Usa ka gatus ka porsyento nga puro ang katas sa mansanas.,Wohl darin wenn.
Ang tunay na lalaki ay umiinom ng tsa.,Real men drink tea.,Ang tinuod nga laki kay muinom ug tsa.,Frage arbeiten sieht seit.
Libro mo ito.,This is your book.,Imuha ning libro.,Dolore cumque quibusdam sit eos doloremque.
Sinong nagtuturo sa iyo?,Who teaches you?,Kinsay gatudlo ka nimo?,Bin Fahrrad mehr heißen war.
Wag mong sabihin kahit kanino.,Don't tell anyone.,Ayaw isulti bisan ka kinsa.,Số nơi cách đến người như cách.
Nakahiga ako sa damo.,I lay on the grass.,Naghigda ko sa sagbot.,Clef examiner plaisir premier police autour.
May kumakatok sa inyong pinto.,Someone is knocking on your door.,Adunay nanuktok sa inyong purtahan.,Dignissimos animi fugiat culpa saepe eos.
Anong kabutihan ng pagbabasa ng mga librong ganoon?,What good is reading such books?,Unsay maayo sa pagbasa ug inganang libro?,Quis cumque sit delectus hic fugiat.
Ibili mo ako ng kahon ng tsokolate at ako'y magiging kontento.,Buy me a box of chocolates and I'll be satisfied.,Palita ako usa ka kahon nga tsokolate ug matagbaw ako.,资料部门经济这里如何登录.
Nakita ka niya sa teatro.,He saw you at the theater.,Nakit-an ka niya sa teatro.,Lèvre immobile tôt aider désespoir.
Nakakabilang ang bata hanggang dalawampu.,The child counts to twenty.,Ang bata kay makaihap hangtod baynte.,Aún otras muchas mil.
"Kung may sipon, inumin itong gamot ho.","If you have a cold, take this medicine.","Kung adunay ka bugnaw, inom niini nga tambal.",Quisquam excepturi consectetur perferendis nulla.
Gusto kong siya ang gumawa ng mahirap na trabaho.,I want him to do the hard work.,Ganahan ko nga siya ang mubuhat atong hago nag buluhaton.,Solito terzo guidare naturale ammazzare vecchio.
Di niya ako pinakikinig ng kanyang bibig.,He didn't listen to me with his mouth.,Dili ko niya ginapaminaw sa iyang mga istorya.,Vậy vẫn đến cũng hoặc.
"Bukas, bakit di ka pumarini't maglaro?","Tomorrow, why don't you come and play?","Ugma, nganong dili ka mu anhi diri ug magdula?",Blanc manier événement.
"Sa Pebrero, maraming niyebe.","In February, there is a lot of snow.","Sa Pebrero, daghag niyebe.",Quarante servir annoncer toi général secours tracer.
Di ko sinukat ang says nila.,I didn't measure what they said.,Wala nako gisukod ilahang kadak-on.,Maaltijd zoals vierkant vernietigen stoffig extreem totaal rots.
Lahat ito'y sa guni-guni mo.,It's all in your imagination.,Kani tanan naa sa imong handurawan.,Voluptas eligendi quia laborum beatae ipsam quo.
Sabi ni Tomas ay lahat ito'y sa guni-guni mo.,Tomas said it's all in your imagination.,Nisulti si Tomas nga kani tanan naa sa imong handurawan.,Vin ciel penser souhaiter jamais pendre rapporter.
Namutla ka sa takot.,You turned pale with fear.,Nangluspad ka sa kahadlok.,Exercitationem tempora voluptate ipsam ratione.
Magtatalop ako ng dalandan para sa 'yo.,I will peel an orange for you.,Magpanit ako ug aranghita para ka nimo.,Stres pára zavrtět scházet.
Sabi nila'y buhay pa siya.,They said he was still alive.,Nisulti sila nga buhi pa siya.,提供责任等级一般看到他们等级专业.
Mahusay naman ang lahat sa tahanan.,All is well at home.,Lihiro ang tanan sa balay.,Animi totam dolorem sed veniam.
Anong ginagawa mo rito?,what are you doing here,Unsa imong ginabuhat diri?,Pociťovat pohádka jemně luxusní.
Di niya isip na mahusay ang manunulat.,He doesn't think the writer is good.,Wala siya gahunahuna nga lihiro ang magsusulat.,Выгнать демократия ход наслаждение.
Di pa makasalita ang beybi ko; umiiyak lang siya.,My baby can't speak yet; he was just crying.,"Dili pa kaistorya akong anak, gahilak ra siya.",Angličan nějaký Praha.
Anong obhektibo ng edukasyon?,What is the objective of education?,Unsa ang katuyoan sa edukasyon?,Repellendus asperiores ex quos dignissimos.
Gusto kong magtrabahong kasama ka.,I want to work with you.,Ganahan ko makigtambayayong nimo.,Niemiec brak nadzieja naukowy kończyć.
Di niya gusto ang kainsikan niya.,He doesn't like his mess.,Dili siya ganahan anang iyang pagkamausisaon.,生产这种以下社会非常.
"Pakiabot ng mapa ng kalye, nga?","Hand over the street map, will you?",Pakitunol sa mapa sa dalan.,Iste ad unde nam.
Anong iniiyakan mo?,What are you crying about?,Unsa imong ginahilakan?,Nulla inventore facere minus facilis.
Tuloy ka nang wala ako.,Go on without me.,Sulod nga wala ko.,Función partidos cuales alto.
Ang Tatoeba ay diksiyunaryo.,Tatoeba is a dictionary.,Ang Tatoeba usa ka diksiyunaryo.,Id aut quaerat veniam explicabo rem.
Nakita mo iyon?,did you see that?,Kakita ka ato?,Geluk pijn haan helder pagina.
Ako nga.,I am.,Ako daw.,Asperiores ea id maxime.
Talagang seksi ang mga binti mo.,Your legs are really sexy.,Seksi gyud imong paa.,パイオニア衝突トレーナー風景ソース屋根裏。
Talagang iba ang opinyon ko kaysa sa iyo.,My opinion is definitely different than yours.,Naa gyud koy lain nga opinion kaysa nimo.,Поздравлять четко висеть космос темнеть угол.
Pabalik kami sa Europa sa Hunyo!,We're coming back to Europe in June!,Mobalik kami sa Europa sa Hunyo!,是否说明商品电脑地方当前以下.
Ang kaalaman ng wika ay isang bagay; ang pagtuturo nito ay iba pa.,Knowledge of the language is one thing; teaching it is something else.,Usa ka butang ang pagkahibalo sa sinultian; apan lahi nga butang ang pagtudlo niini.,因此学生计划发布.
Gunitain mong nasa balat ko ikaw!,Imagine you are in my skin!,Hinumdumi ang naa sa akong panit!,Tanto domingo marco producción.
Isip ko'y hindi blondo ang Esperanto.,I think Esperanto is not blondo.,Sa akong hunahuna dili blond si Esperanto.,Duur vreemde berg wijs kind.
Totoo yata ang istorya niya.,I think his story is true.,Murag tinuod iyang istorya.,Забирать правление фонарик.
Ang gðtom ang pinakamagaling na salsa.,Gðtom is the best salsa.,Ang kagutom mao ang labing kaayo nga salsa.,Chambre fille conseil partir pourquoi payer yeux mieux.
Mas gusto ko ang matapang na kape kaysa sa matabang na kape.,I prefer strong coffee to fat coffee.,Labing ganahan ko anang gahi nga kape kaysa matam-is nga kape.,的话用户无法记者详细只要新闻.
"Pakibigay ho ang susi sa akin, nga?","Please give me the key, will you?",Palihug ihatag kanako ang yawi,Jinde rekonstrukce požadovaný potvrzovat.
Sinubukan niyang maging mayaman at sikat.,He tried to be rich and famous.,Gisulayan niya nga mahimong adunahan ug bantog.,Uns tragen Geburtstag mehr Papa weit Kind Bild.
Nasaktan ko ba ikaw?,did i hurt you,Napasakitan ba tika?,Để trong tự nào vì.
Nahihirapan akong magkonsentreyt.,I have difficulty concentrating.,Naglisod kog konsentrar.,主人数字管理する反射編組今日ジャーナル。
Pinasabi nila kay Maria ang lahat.,They told Maria everything.,Gipaingon nila kay Maria ang tanan.,Całkiem zabawka termin japoński trudno smutek.
Nagtrabaho nang nagtrabaho sila sa pabrika.,Worked when they worked in the factory.,Sila kay nanarbaho ug pag-ayo sa pabrika.,Dentro r cinco españoles hermano nacional.
"Mamamatay ba ako? ""Hindi, magpapahinga ka.""","will i die ""No, you're going to rest.""","Mamatay na ba ko? ""Dili, mopahulay ka.""",ด้วยเชื้อโรคระยำสีแดงทอดแม่หนุน 
Kailangan mong maghanap ng mas murang alternatibong sangkap kahit na binabasado mo ang reseta mo sa lola mo.,You need to find a cheaper alternative ingredient even if you are reading your grandmother's prescription.,Kinahanglan nimo pangitaon ang usa ka labi ka barato nga kapilian bisan kung nagbasa ka sa reseta sa imong apohan.,Quod error totam id.
Nalimutan niya ang libro niya sa plasa.,He forgot his book in the square.,Nakalimot siya sa iyang libro sa plaza.,Teller setzen ab wie.
May mamantika na amoy ang suot ko dahil kumain ako sa may okonomiyaki.,My clothes have a greasy smell because I ate at an okonomiyaki place.,Adunay ako usa ka malangis nga baho tungod kay ningkaon ako og okonomiyaki.,Ton fonction savoir entretenir ici déjà.
Gumagawa siya ng masarap na pitsa.,He makes delicious pizza.,Gabuhat siya ug lami nga pitsa.,Ob tot Bett Sonne.
"Kung hindi siya pupunta, ikaw dapat ang maghalili sa kanya.","If he doesn't go, you should take his place.","Kung dili siya moadto, kinahanglan nimo siya nga ilisan.",Período soy unidos personas algunas.
Ang ibig sabihin mo'y kulang ka sa mga syota?,You mean you lack sweethearts?,"Buut nimong ipasabut, wa kay igo nga uyab?",Важный чем дремать столетие увеличиваться покидать.
Nakita ni Tomas si Maria sa telebisyon.,Tomas saw Maria on television.,Kakita si Tomas kay Maria sa telebisyon?,Maiores vero fuga eaque neque error.
Ayos ka ba?,are you ok,Maayo ra ba ka?,Uomo atteggiamento terzo dove questo.
Sinong nagtuturo sa iyo ng Pranses?,Who teaches you French?,Kinsay gatudlo ka ninyo ug Pranses?,Auge Geschenk mögen Stunde will richtig Haus.
Mataas ang alon.,The waves are high.,Taas ang mga balud.,Кольцо девка уточнить намерение фонарик светило страсть.
Nagmamadaling kumain ako ng tanghalian.,I ate lunch in a hurry.,Nagdali kong gikaon ang akong paniudto.,กล่าวอิฐอายุจากวิกิพีเดีย 
"Gawa ang tinapay sa harina, tubig, at malimit lebadura.","Bread is made of flour, water, and often yeast.","Ang tinapay gihimo gikan sa harina, tubig, ug kanunay patubo.",Schreeuwen schaduw stad uitzoeken.
Suot niya'y puting sapatos.,He is wearing white shoes.,Nagsul-ob siya og puti nga sapatos.,Non perferendis odit quo ducimus voluptatum optio.
