tagalog,english,cebuano
Paniguradong matutuwa siya.,He will be delighted for sure.,Sigurado nga malipay siya.
Ang puso niya'y puno nang kaligayahan.,His heart was full of happiness.,Ang iyang kasingkasing napuno sa hingpit nga kalipay.
Ilan ang mga kulay?,How many colors are there?,Pila nag mga kolor?
Nakakapagbasa ako ng Ingles.,I can read English.,Makabasa ko og Iningles.
Nakikita ko sa mata mo.,I see it in your eyes.,Nakita nako sa imong mga mata.
Di ko rin maipaliwanag.,I can't explain either.,Dili sad nako mapasabut.
Hindi ako mabubuhay nang walang telebisyon.,I can't live without television.,Dili ko mabuhi nga walay telebisyon.
Hindi ko maalala ang pangalan niya.,I can't remember his name.,Dili ko makahinumdom sa iyang ngalan.
Hindi ko matandaan ang pangalan niya.,I don't remember his name.,Dili ko makahinumdom sa iyang ngalan.
Wala akong pakialam kung anong gawin niya.,I don't care what he does.,Wala koy labot og unsa ang iyang gibuhat.
Ang pangarap ko'y nasa Hapon ako.,My dream is to be in Japan.,Ang damgo nako nga ako naa sa Japan.
Parang gusto kong maglakad-lakad.,I feel like going for a walk.,Murag gusto ko nga maglakaw lakaw.
Maaga akong umuwi bawat araw.,I go home early every day.,Sayo ko nga gauli sa balay sa matag adlaw.
Gusto ko rin itong kulay.,I like this color too.,Gusto usab nako ni nga kolor.
Gusto kong maglaro ng mga salita.,I like to play with words.,Ganahan ko sa pagdula sa mga pulong.
Gusto kong magbiyaheng nakatren.,I want to travel by train.,Gusto ko magbiyahe nga nakatren.
Binasa ko ang New York Times.,I read the New York Times.,Akong gibasa ang New York Times.
Nagbabasa ako ng New York Times.,I read the New York Times.,Akong ginabasa ang New York Times.
Nakita ko siya pagkalipas ng sampung taon.,I saw him ten years later.,Nakita ko siya human sa napulo ka tuig.
Nakita kitang may kasamang matangkad na lalaki.,I saw you with a tall man.,Nakita tika nga adunay kauban nga taas nga lalaki.
"Dapat magtanong ako, di ba?","I should ask, shouldn't I?","Dapat mangutana ko, dili ba?"
Naiintindihan ko ang pakiramdam mo.,I understand how you feel.,Makasabut ko sa imong gibati.
Gusto kong ako'y maging nasa plano mo.,I want to be in your plan.,Gusto ko nga ako naa diha sa plano nimo.
Pumunta ako sa nimumultong bahay.,I went to the haunted house.,Moadto ko sa balay nga ginamulto.
Gusto kong mapanood ang pelikula.,I want to see the movie.,Gusto nako nga makita ang pelikula.
Malimit na ako'y kalahating gising lamang.,Often I am only half awake.,Kasagaran ra nga ako katunga lang nagmata.
