document,topic_id
children prefer to play than to study.,-1
you should know how to cook chicken.,53
biwa lake is the largest in japan.,-1
they want to be nostalgic.,-1
ten years is a long time.,-1
i'm trying to remember.,52
he went to paris.,34
he went out for a walk.,37
you made all my dreams come true.,-1
bees are buzzing by the kitchen window.,30
"in the beginning, i will read it.",-1
i don't have time to cook.,19
he said that jokingly.,-1
what does this mean?,39
he takes a bath every morning.,-1
don't eat too much cake.,-1
do you like this color?,-1
when was the last time you jumped for joy?,-1
he made coffee for all of us.,24
he made coffee for all of us.,24
umbrellas are available for purchase.,-1
the arrogance!,7
the arrogant!,7
"maybe, maybe.",0
the shirt should be washed.,-1
the bar should be washed.,-1
the annex is to the north of the original building.,-1
"when i was young, there was a black pig fenced next to our house.",-1
we can continue if the traffic is not heavy.,-1
"can, can.",0
he said he has a platinum card.,-1
the boy invented his own logographic writing for his passion.,-1
it is said that logogram letters are only graphic art.,-1
tomas could not control his children.,68
i know you are.,-1
i prefer to be at home than to go out.,-1
it's not dinner time yet.,3
that's full.,-1
that's full.,-1
is the lojban language better if the dots are avoided?,-1
it's a table.,41
that's a table.,41
tomas feels like a new person.,1
kate baked an apple cake.,5
let me take a picture of you.,0
we went to the mountain to ski.,-1
i shudder to think about it.,31
think about yourself.,-1
children blow bubbles.,-1
there's more to life instead of rushing him.,-1
do not add sugar to coffee.,-1
i'm bursting with urine.,-1
i think he is mr. brown.,-1
i put milk in my coffee.,24
the students are back.,15
"your room number, please.",26
"with the return of winter, the days are getting shorter.",46
the whole mountain was red from the heat.,46
the whole mountain is red from the rainy season.,46
how long is the bridge?,78
we are noldor.,0
i am hiziel.,-1
are you one of the sindars?,2
is a noldo under the tree?,-1
i don't know how to speak kwenya.,-1
hisiel and nenwð guard the forest.,-1
many languages ​​use apostrophes.,-1
i am french,34
i saw him stealing pears from the orchard.,20
"when we were together, would you like to have tea at noon?",24
he can't be hungry; he just had lunch.,3
don't talk about it with anyone.,-1
the food is in the fridge.,3
the two-headed eagle of austria reigned over poland.,-1
maria bought flowers.,27
maria bought flowers.,27
did you come last night?,-1
turn right at the next intersection.,78
tomas made me a bird cage.,1
no smoking!,81
"tomorrow, i'm going home.",8
i like your car.,0
i can't eat anymore.,3
i discovered the truth.,-1
nothing is more useful than a photocopier.,-1
we aim for that objective.,0
that's magic.,0
be back before ten o'clock.,-1
tomas likes popcorn with a lot of butter.,53
this medicine will heal you.,-1
i intend to study english this afternoon.,49
fast and fun.,-1
he just started playing the piano.,25
i passed by his house yesterday.,-1
"if i were rich, i would buy it.",-1
do you have a phone,26
"in the past, meat was too expensive.",17
you or i will go.,-1
there is no sugar in it.,-1
don't eat!,-1
"yes, but that?",2
i listen to everything.,0
klabaster and gizmo are cats.,5
she is beautiful and really rich.,12
it's raining.,50
say it in english.,0
it's an old piano.,25
the rose belongs to teodoro.,27
the boy was quiet.,-1
one hundred percent pure apple juice.,20
real men drink tea.,24
this is your book.,6
who teaches you?,2
don't tell anyone.,-1
i lay on the grass.,-1
someone is knocking on your door.,30
what good is reading such books?,6
buy me a box of chocolates and i'll be satisfied.,74
he saw you at the theater.,-1
the child counts to twenty.,28
"if you have a cold, take this medicine.",-1
i want him to do the hard work.,12
he didn't listen to me with his mouth.,-1
"tomorrow, why don't you come and play?",-1
"in february, there is a lot of snow.",46
i didn't measure what they said.,-1
it's all in your imagination.,82
tomas said it's all in your imagination.,-1
you turned pale with fear.,-1
i will peel an orange for you.,0
they said he was still alive.,12
all is well at home.,8
what are you doing here,2
he doesn't think the writer is good.,9
my baby can't speak yet; he was just crying.,-1
what is the objective of education?,15
i want to work with you.,0
he doesn't like his mess.,4
"hand over the street map, will you?",-1
what are you crying about?,31
go on without me.,-1
tatoeba is a dictionary.,-1
did you see that?,2
i am.,0
your legs are really sexy.,21
my opinion is definitely different than yours.,42
we're coming back to europe in june!,7
knowledge of the language is one thing; teaching it is something else.,-1
imagine you are in my skin!,-1
i think esperanto is not blondo.,-1
i think his story is true.,-1
gðtom is the best salsa.,-1
i prefer strong coffee to fat coffee.,24
"please give me the key, will you?",-1
he tried to be rich and famous.,-1
did i hurt you,-1
i have difficulty concentrating.,31
they told maria everything.,-1
worked when they worked in the factory.,36
"will i die ""no, you're going to rest.""",64
you need to find a cheaper alternative ingredient even if you are reading your grandmother's prescription.,-1
he forgot his book in the square.,6
my clothes have a greasy smell because i ate at an okonomiyaki place.,-1
he makes delicious pizza.,3
"if he doesn't go, you should take his place.",9
you mean you lack sweethearts?,-1
tomas saw maria on television.,11
are you ok,2
who teaches you french?,34
the waves are high.,33
i ate lunch in a hurry.,3
"bread is made of flour, water, and often yeast.",3
he is wearing white shoes.,-1
he said he was sick.,4
we are slowly growing.,0
the air in big cities is polluted.,-1
i do not doubt that you will read my letters.,-1
do you want to cook japanese food?,-1
i now prefer going out instead of staying at home.,-1
who do you want to talk to?,2
different people have different customs.,-1
he is addicted to alcohol.,51
he gave me an example.,13
"hold my hand you and i, together we will create utopia.",0
i'm surprised!,7
come with us if you want.,0
there is a letter in this room.,32
you can get the book if you can read it.,6
there is a visitor named ono who wants to see you.,-1
it's a kind of orange.,-1
matias is from uruguay. he is uruguayan.,77
he is a boy in his twenties.,28
he was a boy about twenty years old.,28
can i start eating now?,3
he whispered something to her.,12
you must take good care of our planet: tierra.,16
you boy is licking me.,-1
languages ​​are my passion.,-1
drinking alcohol is not good for health.,47
did you follow your plan?,2
