Topic,Count,Name,Representation,Representative_Docs
-1,2022,-1_you_to_the_that,"['you', 'to', 'the', 'that', 'is', 'he', 'don', 'will', 'not', 'can']","['there is no one at home.', ""are you sure you don't want to do that?"", 'like it or not, you have to do that.']"
0,268,0_we_yes_want_let,"['we', 'yes', 'want', 'let', 'meet', 'answer', 'will', 'you', 'that', 'me']","['you know i want to know that.', 'i will do what you want.', 'the answer is ""yes"".']"
1,200,1_tom_doesn_tomas_didn,"['tom', 'doesn', 'tomas', 'didn', 'his', 'wants', 'has', 'what', 'ate', 'is']","[""you like tom, don't you?"", 'tom is not there.', ""i'm with tom.""]"
2,157,2_do_who_you_are,"['do', 'who', 'you', 'are', 'where', 'what', 'want', 'name', 'how', 'when']","['and you, who are you?', 'who are you', 'what do you want to do?']"
3,125,3_eat_hungry_soup_food,"['eat', 'hungry', 'soup', 'food', 'dinner', 'bread', 'eggs', 'breakfast', 'lunch', 'rice']","['please give me something to eat. i am very hungry.', ""he didn't eat all the food."", ""when do we eat i'm hungry!""]"
4,101,4_he_his_angry_was,"['he', 'his', 'angry', 'was', 'sick', 'face', 'complains', 'him', 'hurt', 'deeply']","[""he didn't go to school because he was sick."", 'he said he was sick.', 'he was angry with me.']"
5,80,5_car_cat_cats_cab,"['car', 'cat', 'cats', 'cab', 'drive', 'cars', 'kate', 'black', 'truck', 'two']","['is that your car', 'this is my car.', 'this is my car.']"
6,79,6_book_books_read_library,"['book', 'books', 'read', 'library', 'reading', 'this', 'wrote', 'borrowed', 'bible', 'shelf']","['he has not read the book.', 'this is your book.', 'this is my book.']"
7,77,7_christmas_quiet_merry_arrogant,"['christmas', 'quiet', 'merry', 'arrogant', 're', 'listen', 'love', 'come', 'bothering', 'lock']","[""it's not christmas today!"", 'merry christmas!', 'merry christmas, my love!']"
8,75,8_home_day_tomorrow_sunday,"['home', 'day', 'tomorrow', 'sunday', 'every', 'week', 'friday', 'saturday', 'noon', 'at']","['i was away from home all day.', 'we work every day except sunday.', 'i will work all day tomorrow.']"
9,74,9_if_not_know_he,"['if', 'not', 'know', 'he', 'him', 'but', 'could', 'didn', 'don', 'drive']","[""they didn't know what to do with him."", ""he said he could do it, but he didn't say how."", ""we don't know if he can go or not.""]"
