tagalog,english,cebuano,kapampangan,bicolano
Mas gustong maglaro ang mga bata kaysa sa mag-aral.,Children prefer to play than to study.,Mas ganahang magdula ang mga bata kaysa sa magtoon.,Mas buri da reng anak ing maglarin kesa king magaral.,Mas gusto kan mga aki na mag-aling-aling kisa mag-adal.
Dapat malaman mo ang pagluluto ng manok.,You should know how to cook chicken.,Dapat lang nga mahibal-an nimo ang pagluto og manok.,Dapat byasa kang maglutung manuk.,Dapat tatao kang magluto nin manok.
Pinakalaki sa Hapon ang lawang Biwa.,Biwa lake is the largest in Japan.,Pinakadako sa suba sa Hapon ang suba sa Biwa.,Biwa lake ing pekamaragul keng Japan.,An danaw nin Biwa iyo an pinakadakula sa Hapon.
Gusto nilang magnostalhiya.,They want to be nostalgic.,Ganahan sila nga magnostalya.,Buri dang maging nostalgic.,Gusto nindang magin nostalhiko.
Sampung taon ay matagal na panahon.,Ten years is a long time.,Napulo ka tuig perting nang dugaya.,Ing apulung banua makabang panaun.,An sampulong taon halawig na panahon.
Sinusubukan kong tandaan.,I'm trying to remember.,Akong gisulayan og hinumdum.,susubukan kung ganakan.,Naghihingoa akong girumdomon.
Nagpuntang Paris siya.,He went to Paris.,Niadto siya sa Paris.,Minta ya Paris.,Nagduman siya sa Paris.
Lumabas siya para maglakad.,He went out for a walk.,Nigawas na siya aron magbaktas baktas.,Linual ya para maglakad.,Nagluwas siya para maglakaw-lakaw.
Pinatunayan mo ang lahat ng mga pangarap ko.,You made all my dreams come true.,Gipamatud-an nimo ang tanan nakong mga pangandoy.,Gewa mung tutu ing sablang pangarap ku.,Pinaotob mo an gabos kong pangaturugan.
Humahaginit sa tabi ng bintana sa kusina ang mga bubuyog.,Bees are buzzing by the kitchen window.,Hiumaginit sa tapad sa bintana sa kusina ang mga buyog.,Deng buyog mag-buzz la keng bintana ning kusina.,An mga putyukan nag-uungal sa may bintana kan kusina.
"Sa umpisa, babasahin ko ito.","In the beginning, I will read it.","Sa sugod, akua ning basahon.","keng umpisa, babasan ke.","Sa kapinunan, babasahon ko ini."
Wala akong oras magluto.,I don't have time to cook.,Wala ko panahon aron magluto.,Ala kung oras maglutu.,Mayo akong oras sa pagluto.
Pabiro niyang sinabi iyon.,He said that jokingly.,Ganahan niyang isulti to.,sinabi na ita keng pamagbiro.,Sinabi niya iyan na nagbibiro.
Anong ibig sabihin nito?,What does this mean?,Unsay buot pasabot man ani.,Nanu ing buri ng sabyan niti?,Ano an boot sabihon kaini?
